MotherLot,ChildLotId,ProductName,WorkOrder,PanelId,MagazineId
A20041100067,A20041100067.010,122-000000-K68H,SP104-200400004,SA180221C000G4,HT04
A20041100067,A20041100067.011,122-000000-K68H,SP104-200400004,SA180221C000G4,HT04
A20041100067,A20041100067.012,122-000000-K68H,SP104-200400004,SA180221C000G4,HT04
A20041100067,A20041100067.013,122-000000-K68H,SP104-200400004,SA180221C000G4,HT04
A20041100067,A20041100067.014,122-000000-K68H,SP104-200400004,SA180221C000G4,HT04
A20041100067,A20041100067.015,122-000000-K68H,SP104-200400004,SA180221C000G4,HT04
A20041100067,A20041100067.016,122-000000-K68H,SP104-200400004,SA180221C000G4,HT04
A20041100067,A20041100067.017,122-000000-K68H,SP104-200400004,SA180221C000G4,HT04
A20041100067,A20041100067.018,122-000000-K68H,SP104-200400004,SA180221C000G4,HT04
A20041100067,A20041100067.019,122-000000-K68H,SP104-200400004,SA180221C000G4,HT04
A20041100067,A20041100067.020,122-000000-K68H,SP104-200400004,SA180221C000G4,HT04
A20041100068,A20041100068,122-000000-K68H,SP104-200400004,HA180104020626,HT04
A20041100068,A20041100068.001,122-000000-K68H,SP104-200400004,HA180104020626,HT04
A20041100068,A20041100068.002,122-000000-K68H,SP104-200400004,HA180104020626,HT04
A20041100068,A20041100068.003,122-000000-K68H,SP104-200400004,HA180104020626,HT04
A20041100068,A20041100068.004,122-000000-K68H,SP104-200400004,HA180104020626,HT04
A20041100068,A20041100068.005,122-000000-K68H,SP104-200400004,HA180104020626,HT04
A20041100068,A20041100068.006,122-000000-K68H,SP104-200400004,HA180104020626,HT04
A20041100068,A20041100068.007,122-000000-K68H,SP104-200400004,HA180104020626,HT04
A20041100068,A20041100068.008,122-000000-K68H,SP104-200400004,HA180104020626,HT04
A20041100068,A20041100068.009,122-000000-K68H,SP104-200400004,HA180104020626,HT04
A20041100068,A20041100068.010,122-000000-K68H,SP104-200400004,HA180104020626,HT04
A20041100068,A20041100068.011,122-000000-K68H,SP104-200400004,HA180104020626,HT04
A20041100068,A20041100068.012,122-000000-K68H,SP104-200400004,HA180104020626,HT04
A20041100068,A20041100068.013,122-000000-K68H,SP104-200400004,HA180104020626,HT04
A20041100068,A20041100068.014,122-000000-K68H,SP104-200400004,HA180104020626,HT04
A20041100068,A20041100068.015,122-000000-K68H,SP104-200400004,HA180104020626,HT04
A20041100068,A20041100068.016,122-000000-K68H,SP104-200400004,HA180104020626,HT04
A20041100068,A20041100068.017,122-000000-K68H,SP104-200400004,HA180104020626,HT04
A20041100068,A20041100068.018,122-000000-K68H,SP104-200400004,HA180104020626,HT04
A20041100068,A20041100068.019,122-000000-K68H,SP104-200400004,HA180104020626,HT04
A20041100068,A20041100068.020,122-000000-K68H,SP104-200400004,HA180104020626,HT04
A20041100080,A20041100080,122-000000-K68H,SP104-200400004,SA180221C000Q3,HT04
A20041100080,A20041100080.001,122-000000-K68H,SP104-200400004,SA180221C000Q3,HT04
A20041100080,A20041100080.002,122-000000-K68H,SP104-200400004,SA180221C000Q3,HT04
A20041100080,A20041100080.003,122-000000-K68H,SP104-200400004,SA180221C000Q3,HT04
A20041100080,A20041100080.004,122-000000-K68H,SP104-200400004,SA180221C000Q3,HT04
A20041100080,A20041100080.005,122-000000-K68H,SP104-200400004,SA180221C000Q3,HT04
A20041100080,A20041100080.006,122-000000-K68H,SP104-200400004,SA180221C000Q3,HT04
A20041100080,A20041100080.007,122-000000-K68H,SP104-200400004,SA180221C000Q3,HT04
A20041100080,A20041100080.008,122-000000-K68H,SP104-200400004,SA180221C000Q3,HT04
A20041100080,A20041100080.009,122-000000-K68H,SP104-200400004,SA180221C000Q3,HT04
A20041100080,A20041100080.010,122-000000-K68H,SP104-200400004,SA180221C000Q3,HT04
A20041100080,A20041100080.011,122-000000-K68H,SP104-200400004,SA180221C000Q3,HT04
A20041100080,A20041100080.012,122-000000-K68H,SP104-200400004,SA180221C000Q3,HT04
A20041100080,A20041100080.013,122-000000-K68H,SP104-200400004,SA180221C000Q3,HT04
A20041100080,A20041100080.014,122-000000-K68H,SP104-200400004,SA180221C000Q3,HT04
A20041100080,A20041100080.015,122-000000-K68H,SP104-200400004,SA180221C000Q3,HT04
A20041100080,A20041100080.016,122-000000-K68H,SP104-200400004,SA180221C000Q3,HT04
A20041100080,A20041100080.017,122-000000-K68H,SP104-200400004,SA180221C000Q3,HT04
A20041100080,A20041100080.018,122-000000-K68H,SP104-200400004,SA180221C000Q3,HT04
A20041100080,A20041100080.019,122-000000-K68H,SP104-200400004,SA180221C000Q3,HT04
A20041100080,A20041100080.020,122-000000-K68H,SP104-200400004,SA180221C000Q3,HT04
A20041100081,A20041100081,122-000000-K68H,SP104-200400004,SA180221C000Q7,HT04
A20041100081,A20041100081.001,122-000000-K68H,SP104-200400004,SA180221C000Q7,HT04
A20041100081,A20041100081.002,122-000000-K68H,SP104-200400004,SA180221C000Q7,HT04
A20041100081,A20041100081.003,122-000000-K68H,SP104-200400004,SA180221C000Q7,HT04
A20041100081,A20041100081.004,122-000000-K68H,SP104-200400004,SA180221C000Q7,HT04
A20041100081,A20041100081.005,122-000000-K68H,SP104-200400004,SA180221C000Q7,HT04
A20041100081,A20041100081.006,122-000000-K68H,SP104-200400004,SA180221C000Q7,HT04
A20041100081,A20041100081.007,122-000000-K68H,SP104-200400004,SA180221C000Q7,HT04
A20041100081,A20041100081.008,122-000000-K68H,SP104-200400004,SA180221C000Q7,HT04
A20041100081,A20041100081.009,122-000000-K68H,SP104-200400004,SA180221C000Q7,HT04
A20041100081,A20041100081.010,122-000000-K68H,SP104-200400004,SA180221C000Q7,HT04
A20041100081,A20041100081.011,122-000000-K68H,SP104-200400004,SA180221C000Q7,HT04
A20041100081,A20041100081.012,122-000000-K68H,SP104-200400004,SA180221C000Q7,HT04
A20041100081,A20041100081.013,122-000000-K68H,SP104-200400004,SA180221C000Q7,HT04
A20041100081,A20041100081.014,122-000000-K68H,SP104-200400004,SA180221C000Q7,HT04
A20041100081,A20041100081.015,122-000000-K68H,SP104-200400004,SA180221C000Q7,HT04
A20041100081,A20041100081.016,122-000000-K68H,SP104-200400004,SA180221C000Q7,HT04
A20041100081,A20041100081.017,122-000000-K68H,SP104-200400004,SA180221C000Q7,HT04
A20041100081,A20041100081.018,122-000000-K68H,SP104-200400004,SA180221C000Q7,HT04
A20041100081,A20041100081.019,122-000000-K68H,SP104-200400004,SA180221C000Q7,HT04
A20041100081,A20041100081.020,122-000000-K68H,SP104-200400004,SA180221C000Q7,HT04
A20041100082,A20041100082,122-000000-K68H,SP104-200400004,SA180221C000QT,HT04
A20041100082,A20041100082.001,122-000000-K68H,SP104-200400004,SA180221C000QT,HT04
A20041100082,A20041100082.002,122-000000-K68H,SP104-200400004,SA180221C000QT,HT04
A20041100082,A20041100082.003,122-000000-K68H,SP104-200400004,SA180221C000QT,HT04
A20041100082,A20041100082.004,122-000000-K68H,SP104-200400004,SA180221C000QT,HT04
A20041100082,A20041100082.005,122-000000-K68H,SP104-200400004,SA180221C000QT,HT04
A20041100082,A20041100082.006,122-000000-K68H,SP104-200400004,SA180221C000QT,HT04
A20041100082,A20041100082.007,122-000000-K68H,SP104-200400004,SA180221C000QT,HT04
A20041100082,A20041100082.008,122-000000-K68H,SP104-200400004,SA180221C000QT,HT04
A20041100082,A20041100082.009,122-000000-K68H,SP104-200400004,SA180221C000QT,HT04
A20041100082,A20041100082.010,122-000000-K68H,SP104-200400004,SA180221C000QT,HT04
A20041100082,A20041100082.011,122-000000-K68H,SP104-200400004,SA180221C000QT,HT04
A20041100082,A20041100082.012,122-000000-K68H,SP104-200400004,SA180221C000QT,HT04
A20041100082,A20041100082.013,122-000000-K68H,SP104-200400004,SA180221C000QT,HT04
A20041100082,A20041100082.014,122-000000-K68H,SP104-200400004,SA180221C000QT,HT04
A20041100082,A20041100082.015,122-000000-K68H,SP104-200400004,SA180221C000QT,HT04
A20041100082,A20041100082.016,122-000000-K68H,SP104-200400004,SA180221C000QT,HT04
A20041100082,A20041100082.017,122-000000-K68H,SP104-200400004,SA180221C000QT,HT04
A20041100082,A20041100082.018,122-000000-K68H,SP104-200400004,SA180221C000QT,HT04
A20041100082,A20041100082.019,122-000000-K68H,SP104-200400004,SA180221C000QT,HT04
A20041100082,A20041100082.020,122-000000-K68H,SP104-200400004,SA180221C000QT,HT04
A20041100086,A20041100086,122-000000-K68H,SP104-200400004,SA180221C000FR,HT04
A20041100086,A20041100086.001,122-000000-K68H,SP104-200400004,SA180221C000FR,HT04
A20041100086,A20041100086.002,122-000000-K68H,SP104-200400004,SA180221C000FR,HT04
A20041100086,A20041100086.003,122-000000-K68H,SP104-200400004,SA180221C000FR,HT04
A20041100086,A20041100086.004,122-000000-K68H,SP104-200400004,SA180221C000FR,HT04
A20041100086,A20041100086.005,122-000000-K68H,SP104-200400004,SA180221C000FR,HT04
A20041100086,A20041100086.006,122-000000-K68H,SP104-200400004,SA180221C000FR,HT04
A20041100086,A20041100086.007,122-000000-K68H,SP104-200400004,SA180221C000FR,HT04
A20041100086,A20041100086.008,122-000000-K68H,SP104-200400004,SA180221C000FR,HT04
A20041100086,A20041100086.009,122-000000-K68H,SP104-200400004,SA180221C000FR,HT04
A20041100086,A20041100086.010,122-000000-K68H,SP104-200400004,SA180221C000FR,HT04
A20041100086,A20041100086.011,122-000000-K68H,SP104-200400004,SA180221C000FR,HT04
A20041100086,A20041100086.012,122-000000-K68H,SP104-200400004,SA180221C000FR,HT04
A20041100086,A20041100086.013,122-000000-K68H,SP104-200400004,SA180221C000FR,HT04
A20041100086,A20041100086.014,122-000000-K68H,SP104-200400004,SA180221C000FR,HT04
A20041100086,A20041100086.015,122-000000-K68H,SP104-200400004,SA180221C000FR,HT04
A20041100086,A20041100086.016,122-000000-K68H,SP104-200400004,SA180221C000FR,HT04
A20041100086,A20041100086.017,122-000000-K68H,SP104-200400004,SA180221C000FR,HT04
A20041100086,A20041100086.018,122-000000-K68H,SP104-200400004,SA180221C000FR,HT04
A20041100086,A20041100086.019,122-000000-K68H,SP104-200400004,SA180221C000FR,HT04
A20041100086,A20041100086.020,122-000000-K68H,SP104-200400004,SA180221C000FR,HT04
A20041100087,A20041100087,122-000000-K68H,SP104-200400004,SA180221C000H7,HT04
A20041100087,A20041100087.001,122-000000-K68H,SP104-200400004,SA180221C000H7,HT04
A20041100087,A20041100087.002,122-000000-K68H,SP104-200400004,SA180221C000H7,HT04
A20041100087,A20041100087.003,122-000000-K68H,SP104-200400004,SA180221C000H7,HT04
A20041100087,A20041100087.004,122-000000-K68H,SP104-200400004,SA180221C000H7,HT04
A20041100087,A20041100087.005,122-000000-K68H,SP104-200400004,SA180221C000H7,HT04
A20041100087,A20041100087.006,122-000000-K68H,SP104-200400004,SA180221C000H7,HT04
A20041100087,A20041100087.007,122-000000-K68H,SP104-200400004,SA180221C000H7,HT04
A20041100087,A20041100087.008,122-000000-K68H,SP104-200400004,SA180221C000H7,HT04
A20041100087,A20041100087.009,122-000000-K68H,SP104-200400004,SA180221C000H7,HT04
A20041100087,A20041100087.010,122-000000-K68H,SP104-200400004,SA180221C000H7,HT04
A20041100087,A20041100087.011,122-000000-K68H,SP104-200400004,SA180221C000H7,HT04
A20041100087,A20041100087.012,122-000000-K68H,SP104-200400004,SA180221C000H7,HT04
A20041100087,A20041100087.013,122-000000-K68H,SP104-200400004,SA180221C000H7,HT04
A20041100087,A20041100087.014,122-000000-K68H,SP104-200400004,SA180221C000H7,HT04
A20041100087,A20041100087.015,122-000000-K68H,SP104-200400004,SA180221C000H7,HT04
A20041100087,A20041100087.016,122-000000-K68H,SP104-200400004,SA180221C000H7,HT04
A20041100087,A20041100087.017,122-000000-K68H,SP104-200400004,SA180221C000H7,HT04
A20041100087,A20041100087.018,122-000000-K68H,SP104-200400004,SA180221C000H7,HT04
A20041100087,A20041100087.019,122-000000-K68H,SP104-200400004,SA180221C000H7,HT04
A20041100087,A20041100087.020,122-000000-K68H,SP104-200400004,SA180221C000H7,HT04
A20041100089,A20041100089,122-000000-K68H,SP104-200400004,SA180221C000R3,HT04
A20041100089,A20041100089.001,122-000000-K68H,SP104-200400004,SA180221C000R3,HT04
A20041100089,A20041100089.002,122-000000-K68H,SP104-200400004,SA180221C000R3,HT04
A20041100089,A20041100089.003,122-000000-K68H,SP104-200400004,SA180221C000R3,HT04
A20041100089,A20041100089.004,122-000000-K68H,SP104-200400004,SA180221C000R3,HT04
